district,no_school_price,school_price,school_premium_rate
光明,4.0477094094743675,3.938581,-0.026960534572697686
南山,12.358594934210526,9.187338511560693,-0.2566033144974514
坪山,2.885927353992849,3.0046443213296397,0.04113650580030674
大鹏新区,2.7376132867132865,3.0251820512820515,0.10504360347915072
宝安,5.724462753222836,6.139830284301607,0.07256008973853864
盐田,4.046879201545396,4.075937777777778,0.007180490146897673
福田,8.582507227813357,8.998118902203325,0.04842543831982967
罗湖,4.934395605057195,5.204692393915132,0.05477809452102174
龙华,4.944503044619423,5.723646767106089,0.1575777616993331
龙岗,3.7331855081967213,3.993070215219062,0.06961473156148498
